Total hosts (including soft deleted): 296
--- DUPLICATES FOUND ---
DUPLICATE GROUP: mid:2-hostid:10777 count: 37
  -> Host: ID=6, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:30.608 +0800 CST true}
  -> Host: ID=14, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:30.518 +0800 CST true}
  -> Host: ID=22, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:30.448 +0800 CST true}
  -> Host: ID=30, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:30.348 +0800 CST true}
  -> Host: ID=38, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:30.246 +0800 CST true}
  -> Host: ID=46, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:29.987 +0800 CST true}
  -> Host: ID=54, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:29.853 +0800 CST true}
  -> Host: ID=62, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:29.741 +0800 CST true}
  -> Host: ID=70, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:29.657 +0800 CST true}
  -> Host: ID=78, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:29.569 +0800 CST true}
  -> Host: ID=86, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:29.468 +0800 CST true}
  -> Host: ID=94, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:29.402 +0800 CST true}
  -> Host: ID=102, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:55:29.322 +0800 CST true}
  -> Host: ID=110, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:56:11.065 +0800 CST true}
  -> Host: ID=118, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 13:56:11.018 +0800 CST true}
  -> Host: ID=126, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:37.726 +0800 CST true}
  -> Host: ID=134, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:37.52 +0800 CST true}
  -> Host: ID=142, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:37.427 +0800 CST true}
  -> Host: ID=150, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:37.303 +0800 CST true}
  -> Host: ID=158, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:37.197 +0800 CST true}
  -> Host: ID=166, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:37.099 +0800 CST true}
  -> Host: ID=174, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:36.799 +0800 CST true}
  -> Host: ID=182, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:36.693 +0800 CST true}
  -> Host: ID=190, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:36.567 +0800 CST true}
  -> Host: ID=198, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:36.459 +0800 CST true}
  -> Host: ID=206, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:19:36.328 +0800 CST true}
  -> Host: ID=214, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:30:11.115 +0800 CST true}
  -> Host: ID=222, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:30:10.941 +0800 CST true}
  -> Host: ID=230, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:30:10.71 +0800 CST true}
  -> Host: ID=238, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:30:10.547 +0800 CST true}
  -> Host: ID=246, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:30:10.408 +0800 CST true}
  -> Host: ID=254, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:30:10.314 +0800 CST true}
  -> Host: ID=262, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:30:10.168 +0800 CST true}
  -> Host: ID=270, Name=AGG2, MID=2, HostID=10777, DeletedAt={2026-02-28 14:30:10.045 +0800 CST true}
  -> Host: ID=278, Name=AGG2, MID=2, HostID=10777, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=286, Name=AGG2, MID=2, HostID=10777, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=294, Name=AGG2, MID=2, HostID=10777, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
DUPLICATE GROUP: mid:2-hostid:10778 count: 37
  -> Host: ID=7, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 13:55:30.596 +0800 CST true}
  -> Host: ID=15, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 13:55:30.518 +0800 CST true}
  -> Host: ID=23, Name=ACC1, MID=2, HostID=10778, DeletedAt={2026-02-28 13:55:30.444 +0800 CST true}
